AID,REGULATION,FUNCTION_ID,FUNCTION_NAME,CELL_LINE_ID,TISSUE_ID,ORGANISM_ID,GENE_ID,UNIPROT_GENE_NAME,Entry
2332,,318,antagonist,,,,11203,s1pr4,O95977
2332,,319,Antagonist muscle action,530| 944| 1176| 5167| 3936,,,11203,s1pr4,O95977
2332,positive regulation,179,agonist,,,,11203,s1pr4,O95977
2338,,318,antagonist,,,,7227,gpr35,Q9HC97
2339,,318,antagonist,,,,11725,cnr1,P21554
2340,,179,agonist,,,,7227,gpr35,Q9HC97
2341,,179,agonist,,,,11725,cnr1,P21554
2346,,318,antagonist,,,,11203,s1pr4,O95977
2346,,319,Antagonist muscle action,,,,11203,s1pr4,O95977
2346,positive regulation,179,agonist,,,,11203,s1pr4,O95977
2347,,179,agonist,,,,13658,gpr55,Q9Y2T6
2348,,318,antagonist,,,,6135,oprk1,P41145
2348,,179,agonist,,,,6135,oprk1,P41145
2349,,318,antagonist,,,,3463,s1pr3,Q99500
2349,negative regulation,319,Antagonist muscle action,,,,3463,s1pr3,Q99500
2349,,317,antagonism,,,,3463,s1pr3,Q99500
2350,,318,antagonist,,,,17460,s1pr5,Q9H228
2350,positive regulation,179,agonist,,,,17460,s1pr5,Q9H228
2351,,318,antagonist,,,,11203,s1pr4,O95977
2354,,318,antagonist,,,,11203,s1pr4,O95977
2356,,318,antagonist,,,,3705,oprd1,P41143
2357,,318,antagonist,,,,3705,oprd1,P41143
2359,,179,agonist,,,,6135,oprk1,P41145
856,,318,antagonist,,,,1600,s1pr2,O95136
856,positive regulation,319,Antagonist muscle action,,,,1600,s1pr2,O95136
859,positive regulation,179,agonist,,,,15715,chrm1,P11229
859,,319,Antagonist muscle action,,,,15715,chrm1,P11229
860,positive regulation,179,agonist,,,,15715,chrm1,P11229
860,,319,Antagonist muscle action,,,,15715,chrm1,P11229
863,,179,agonist,,,,14122,fpr1,P21462
863,,318,antagonist,,,,14122,fpr1,P21462
864,,178,agonism,,,,13410,galr2,O43603
864,positive regulation,179,agonist,,,,13410,galr2,O43603
865,,179,agonist,,,,13410,galr2,O43603
866,,318,antagonist,,,,13410,galr2,O43603
866,,317,antagonism,,,,13410,galr2,O43603
866,,319,Antagonist muscle action,,,,13410,galr2,O43603
867,,318,antagonist,,,,13410,galr2,O43603
872,,179,agonist,,,,1600,s1pr2,O95136
1461,,318,antagonist,,,,19065,npsr1,Q6W5P4
1464,,318,antagonist,,,,19065,npsr1,Q6W5P4
1470,,179,agonist,,,,15715,chrm1,P11229
1488,,179,agonist,,,,15715,chrm1,P11229
1489,,318,antagonist,,,,19065,npsr1,Q6W5P4
1491,,318,antagonist,,,,19065,npsr1,Q6W5P4
1921,,179,agonist,,,,18695,chrm4,P08173
1923,,179,agonist,,,,18695,chrm4,P08173
2397,,318,antagonist,,,,13658,gpr55,Q9Y2T6
874,,179,agonist,,,,1600,s1pr2,O95136
926,positive regulation,179,agonist,,,,87,tshr,P16473
1492,,318,antagonist,,,,19065,npsr1,Q6W5P4
1492,positive regulation,317,antagonism,,,,15715,chrm1,P11229
1493,,318,antagonist,,,,19065,npsr1,Q6W5P4
1508,,319,Antagonist muscle action,,,,15715,chrm1,P11229
1509,positive regulation,179,agonist,,,,11203,s1pr4,O95977
1510,,318,antagonist,,,,11203,s1pr4,O95977
1510,positive regulation,179,agonist,,,,11203,s1pr4,O95977
1516,,318,antagonist,,,,12838,htr1e,P28566
1516,,317,antagonism,,,,12838,htr1e,P28566
1516,positive regulation,179,agonist,,,,12838,htr1e,P28566
1516,,319,Antagonist muscle action,,,,12838,htr1e,P28566
1938,,179,agonist,,,,18695,chrm4,P08173
1939,,179,agonist,,,,18695,chrm4,P08173
1952,,318,antagonist,,,,16324,npbwr1,P48145
1952,,179,agonist,,,,16324,npbwr1,P48145
373,,179,agonist,,,,3463,s1pr3,Q99500
373,,318,antagonist,,,,3463,s1pr3,Q99500
373,negative regulation,178,agonism,,,,3463,s1pr3,Q99500
933,,179,agonist,,,,87,tshr,P16473
938,,179,agonist,,,,87,tshr,P16473
939,positive regulation,179,agonist,,,,87,tshr,P16473
940,,179,agonist,,,,8548,ptger2,P35408
940,,179,agonist,,,,8548,ptger2,P43116
940,,318,antagonist,,,,8548,ptger2,P35408
940,,318,antagonist,,,,8548,ptger2,P43116
943,,318,antagonist,,,,15715,chrm1,P11229
953,,179,agonist,,,,87,tshr,P16473
1518,,318,antagonist,,,,3463,s1pr3,Q99500
1518,,317,antagonism,,,,3463,s1pr3,Q99500
1518,,319,Antagonist muscle action,,,,3463,s1pr3,Q99500
1523,,179,agonist,,,,11203,s1pr4,O95977
1523,negative regulation,178,agonism,,,,11203,s1pr4,O95977
1524,,318,antagonist,,,,11203,s1pr4,O95977
1524,,317,antagonism,,,,11203,s1pr4,O95977
1524,positive regulation,179,agonist,,,,11203,s1pr4,O95977
1961,,179,agonist,,,,13658,gpr55,Q9Y2T6
1965,,179,agonist,,,,13658,gpr55,Q9Y2T6
1989,,179,agonist,,,,9220,gper1,Q99527
439,,179,agonist,,,,3463,s1pr3,Q99500
439,,318,antagonist,,,,3463,s1pr3,Q99500
439,negative regulation,178,agonism,,,,3463,s1pr3,Q99500
1044,negative regulation,178,agonism,,,,6213,s1pr1,P21453
1044,negative regulation,179,agonist,,,,6213,s1pr1,P21453
1044,,319,Antagonist muscle action,,,,6213,s1pr1,P21453
1050,,178,agonism,,,,13410,galr2,O43603
1050,positive regulation,179,agonist,,,,13410,galr2,O43603
1563,positive regulation,179,agonist,,,,11203,s1pr4,O95977
1564,negative regulation,318,antagonist,,,,11203,s1pr4,O95977
