Ikey,AC,Label,SMILES
YPUJWISVZVZVNU-IBGZPJMESA-N,P32246,antagonist,CC(=O)NC1=CC=CC=C1OC[C@H](CN2CCC3(CC2)CC4=C(O3)C=CC(=C4)Cl)O
ADLPAZXMBFTTEG-XFHUWUJUSA-N,P35372,nonbinder,C1CC1CN2CC[C@]34C[C@@H](C[C@]3([C@H]2CC5=C4C=C(C=C5)O)O)C(=O)N
RPCMTLXSDIBBNI-QHCPKHFHSA-N,P25090,agonist,C1CC2=CC=CC=C2N(C1)C(=O)[C@H](CC3=CC=C(C=C3)C#N)NC(=O)NC4=CC=C(C=C4)F
DFRRWIGBGSRDTE-UHFFFAOYSA-N,P28222,antagonist,CC1=NC2=C(C=C1)C(=CC(=C2)F)N3CCN(CC3)CCCC4=C5C(=CC=C4)N(C(=O)CO5)C
KARJRQAEBOLVTM-IPZQJPLYSA-N,P29371,antagonist,C[C@@](CC1=CC=CC=C1)(C(=O)NCCC2=CC=C(C=C2)OCC(=O)N)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)OC(C)(C)C
LQQIVYSCPWCSSD-UHFFFAOYSA-N,P49682,nonbinder,C1CN(CCC1C2(CCC(=O)NC2=O)C3=CC=CC=C3)CC4=CC=CC=C4
QNQQLAMJADYLTH-UHFFFAOYSA-N,O43614,antagonist,CC1=C(C=C(C=C1)Cl)C(=O)N2CC3CN(CC3C2)C4=NC(=CC(=N4)C)C
DWHRPZRXNRDAQF-GEQJWKGNSA-N,P32239,antagonist,CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N)NC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)CNC(=O)[C@@H](CC4=CC=CC=C4)NC(=O)[C@H](CC5=CC=C(C=C5)O)N
UODSIZRSALBPHB-UHFFFAOYSA-N,Q8TCW9,antagonist,CC1=CC(=CC=C1)C2CCCN(C2)C(=O)C3=CC(=NC=C3)N(C)C
UDERFTNWMWSEFW-LLVKDONJSA-N,Q9H3N8,antagonist,CC(C)CNC1=NN=CC(=C1)N2CC[C@H](C2)NC
CYBYHKCWHVLMLF-UHFFFAOYSA-N,P32246,nonbinder,CC1=C(C(=NN1CC(=O)N2CCN(CC2)C3=CC=C(C=C3)OC)C(F)(F)F)Cl
BNEDSCDAJNXWFC-QUKQHMBXSA-N,P29274,nonbinder,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=C(C=C3)C(C)NC(=O)[C@@H]4[C@H]([C@H]([C@@H](O4)C5=NC6=C(N5)C(=NC=N6)NC7CCCC7)O)O
XGJVWIAMHQEAER-UHFFFAOYSA-N,P21554,nonbinder,CC1=NC(=NO1)C(C)(C2CC2)NC(=O)C3=NC=C(C(=C3)OCC(F)(F)F)C4(COC4)F
BNYLPHVXEHZIPS-UHFFFAOYSA-N,Q03431,antagonist,CC1(C2=C(C=C(C=N2)Cl)C3=C(C=C(C=C3)Cl)N(C1=O)C4=CC=C(C=C4)N5CC(C5)(CNC6CCOCC6)OC)C
NRBJUWFKSUZISJ-UQDAOCEXSA-N,P29274,agonist,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N[C@H](C)CC4=CC=CC=C4)O)O
LWPHMYDSUBVSCJ-UHFFFAOYSA-N,P34972,agonist,CCCCCCC(C)(C)C1=CC(=C(C=C1)C2=CC(=CC(=C2)C)C)C(=O)O
