UniProt_ID,PDB_ID,chain_id,chain_length,score,coverageChain,coverageUniProt,identity,pass_filter
O00590,8GO9,A,363,29,1,0.9453125,0.185185185,FALSE
O00590,8GO9,B,202,38,1,0.526041667,0.237569061,FALSE
O00590,8GO9,C,185,29,1,0.481770833,0.18627451,FALSE
O00590,8GO9,D,202,38,1,0.526041667,0.237569061,FALSE
O00590,8GO9,E,185,29,1,0.481770833,0.18627451,FALSE
O00590,8GO9,F,363,29,1,0.9453125,0.185185185,FALSE
O00590,8GO9,G,12,55,1,0.03125,1,FALSE
O00590,8GO9,H,12,55,1,0.03125,1,FALSE
O00590,8J8V,A,365,29,1,0.950520833,0.090909091,FALSE
O00590,8J8V,B,117,32,1,0.3046875,0.267326733,FALSE
O00590,8J8V,C,107,27.5,1,0.278645833,0.165048544,FALSE
O00590,8J8V,D,118,32,1,0.307291667,0.264705882,FALSE
O00590,8J8V,E,107,27.5,1,0.278645833,0.165048544,FALSE
O00590,8J8V,F,365,29,1,0.950520833,0.090909091,FALSE
O00590,8J8V,G,13,59,1,0.033854167,1,FALSE
O00590,8J8V,H,13,59,1,0.033854167,1,FALSE
O00590,8J8Z,A,340,37,1,0.885416667,0.13368984,FALSE
O00590,8J8Z,H,117,32,1,0.3046875,0.267326733,FALSE
O00590,8J8Z,L,107,27.5,1,0.278645833,0.165048544,FALSE
O00590,8J8Z,V,7,34,1,0.018229167,1,FALSE
O00590,8J8Z,B,340,37,1,0.885416667,0.13368984,FALSE
O00590,8J8Z,I,117,32,1,0.3046875,0.267326733,FALSE
O00590,8J8Z,M,107,27.5,1,0.278645833,0.165048544,FALSE
O00590,8J8Z,U,7,34,1,0.018229167,1,FALSE
Q969F8,7YQE,A,173,55,1,0.434673367,0.220588235,FALSE
Q969F8,7YQE,B,168,35,1,0.422110553,0.198473282,FALSE
Q5NUL3,8G59,B,335,33.5,1,0.927977839,0.205882353,FALSE
Q5NUL3,8G59,Y,53,29.5,1,0.146814404,0.170212766,FALSE
Q5NUL3,8G59,S,230,36,1,0.637119114,0.095541401,FALSE
Q5NUL3,8G59,A,219,47.5,1,0.606648199,0.23255814,FALSE
Q5NUL3,8G59,R,282,1363.5,1,0.781163435,0.996453901,TRUE
Q5NUL3,8H4I,A,231,31,1,0.639889197,0.133802817,FALSE
Q5NUL3,8H4I,B,338,33.5,1,0.936288089,0.201438849,FALSE
Q5NUL3,8H4I,C,56,32,1,0.155124654,0.261904762,FALSE
Q5NUL3,8H4I,D,127,29,1,0.351800554,0.113924051,FALSE
Q5NUL3,8H4I,R,284,1408,1,0.786703601,0.996478873,TRUE
Q5NUL3,8H4K,A,234,37.5,1,0.648199446,0.223140496,FALSE
Q5NUL3,8H4K,B,337,33.5,1,0.933518006,0.202898551,FALSE
Q5NUL3,8H4K,G,57,32,1,0.157894737,0.255813953,FALSE
