ChEMBL ID,Name,UniProt Accessions,GO Terms,Type,Organism,Class,Target Class,Receptor Family
CHEMBL4105988,Atypical chemokine receptor 2,O00590,GO:0004950; GO:0005044; GO:0005654; GO:0005769; GO:0005829; GO:0005884; GO:0005886; GO:0006954; GO:0006955; GO:0007204; GO:0009897; GO:0016493; GO:0019722; GO:0019957; GO:0031965; GO:0035556; GO:0043231; GO:0055037; GO:0060326,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemokine receptors
CHEMBL4523904,Probable G-protein coupled receptor 146,Q96CH1,GO:0004930; GO:0005886,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL5413,Metastin receptor,Q969F8,GO:0005886; GO:0005929; GO:0007186; GO:0007218; GO:0008188; GO:0008528; GO:0009986; GO:0016020; GO:0043231,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Kisspeptin receptors
CHEMBL1075101,G-protein coupled receptor 81,Q9BXC0,GO:0004930; GO:0005886; GO:0007186; GO:0050995,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Hydroxycarboxylic acid receptors
CHEMBL2150840,2-oxoglutarate receptor 1,Q96P68,GO:0004930; GO:0005886; GO:0007186; GO:0016020; GO:0038023,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Oxoglutarate receptors
CHEMBL3308978,"Complement component 3a receptor 1, isoform CRA_a",A8K2H7,GO:0004876; GO:0004930; GO:0005886; GO:0006935; GO:0010575; GO:0010759; GO:0045766; GO:0090023,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Other
CHEMBL5339,G-protein coupled receptor 120,Q5NUL3,GO:0001818; GO:0004930; GO:0005504; GO:0005765; GO:0005886; GO:0005929; GO:0006954; GO:0007186; GO:0007189; GO:0007200; GO:0007204; GO:0008527; GO:0010008; GO:0010827; GO:0030139; GO:0032691; GO:0032870; GO:0036321; GO:0042277; GO:0043066; GO:0045669; GO:0046879; GO:0050728; GO:0050872; GO:0050873; GO:0060170; GO:0070094; GO:0070374; GO:0090275; GO:0090336; GO:0120162; GO:1990763,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Free fatty acid receptors
CHEMBL4421,HM74 nicotinic acid GPCR,P49019,GO:0004930; GO:0005886; GO:0007186; GO:0030054; GO:0070553,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Hydroxycarboxylic acid receptors
CHEMBL5201,Free fatty acid receptor 3,O14843,GO:0002385; GO:0002720; GO:0002879; GO:0004930; GO:0005886; GO:0006954; GO:0007186; GO:0007193; GO:0008289; GO:0014061; GO:0032722; GO:0045776; GO:0046626; GO:0046885; GO:0071398; GO:0090276,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Free fatty acid receptors
CHEMBL4523913,Probable G-protein coupled receptor 21,Q99679,GO:0004930; GO:0005886; GO:0008286; GO:0040018; GO:0042593; GO:0046627,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523928,Probable G-protein coupled receptor 45,Q9Y5Y3,GO:0004930; GO:0005886; GO:0007186,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523864,Neuropeptides B/W receptor type 2,P48146,GO:0004930; GO:0004985; GO:0005886; GO:0007186; GO:0007218; GO:0008188; GO:0016020; GO:0042923; GO:0043005,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Neuropeptide W/neuropeptide B receptors
CHEMBL4523860,Probable G-protein coupled receptor 171,O14626,GO:0004930; GO:0005886; GO:0007186; GO:0007188; GO:0008188; GO:0008528; GO:0016020; GO:0042923; GO:0045028; GO:0045638; GO:0051930; GO:0060259,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523870,Probable G-protein coupled receptor 19,Q15760,GO:0004930; GO:0005886; GO:0005929; GO:0007186,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL3724,Lysophosphatidic acid receptor Edg-4,Q9HBW0,GO:0004930; GO:0005737; GO:0005886; GO:0007186; GO:0007189; GO:0007204; GO:0008289; GO:0009986; GO:0019222; GO:0030165; GO:0035025; GO:0043410; GO:0048787; GO:0070915; GO:0098978,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Lysophospholipid (LPA) receptors
CHEMBL5006,G-protein coupled receptor 12,P47775,GO:0004930; GO:0005737; GO:0005886; GO:0006874; GO:0007186; GO:0007189; GO:0019222; GO:0031210,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL3309102,Probable G-protein coupled receptor 135,Q8IZ08,GO:0004930; GO:0005768; GO:0005886; GO:0007186; GO:0010008; GO:1990763,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523911,Trace amine-associated receptor 9,Q96RI9,GO:0001594; GO:0004930; GO:0005886; GO:0007186,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL3632455,Probable G-protein coupled receptor 139,Q6DWJ6,GO:0005886; GO:0007186; GO:0007200; GO:0008188; GO:0042802,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL3085617,Probable G-protein coupled receptor 151,Q8TDV0,GO:0002931; GO:0004930; GO:0005886; GO:0007186; GO:0008188; GO:0010447; GO:0042802; GO:0050778,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL2331058,Lysophosphatidic acid receptor 6,P43657,GO:0001835; GO:0005886; GO:0007200; GO:0035025; GO:0070915,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Lysophospholipid (LPA) receptors
CHEMBL4867,Purinergic receptor P2Y11,Q96G91,GO:0005886; GO:0006952; GO:0007186; GO:0007190; GO:0007200; GO:0019722; GO:0023041; GO:0030594; GO:0038023; GO:0045031; GO:0071318,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),P2Y receptors
CHEMBL4523882,Mas-related G-protein coupled receptor member E,Q86SM8,GO:0004930; GO:0005886; GO:0007186,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL3321651,P2Y purinoceptor 13,Q9BPV8,GO:0005783; GO:0005886; GO:0007186; GO:0045028; GO:0071407,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),P2Y receptors
CHEMBL4523868,Probable G-protein coupled receptor 85,P60893,GO:0004930; GO:0005783; GO:0005886; GO:0007165,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523881,Mas-related G-protein coupled receptor member G,Q86SM5,GO:0004930; GO:0005886; GO:0007186,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523902,Trace amine-associated receptor 8,Q969N4,GO:0001594; GO:0004930; GO:0005886; GO:0007186,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL1777664,Probable G-protein coupled receptor 160,Q9UJ42,GO:0004930; GO:0005886; GO:0043235,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL3341577,Melatonin-related receptor,Q13585,GO:0004930; GO:0005654; GO:0005886; GO:0007186; GO:0007267; GO:0008502; GO:0014069,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523883,Probable G-protein coupled receptor 149,Q86SP6,GO:0001546; GO:0001547; GO:0004930; GO:0005886; GO:0007218; GO:0042923; GO:0043005; GO:0060280,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523908,G-protein coupled receptor 78,Q96P69,GO:0004930; GO:0005886; GO:0007189,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL2321626,Duffy antigen/chemokine receptor,Q16570,GO:0004888; GO:0004930; GO:0005769; GO:0005886; GO:0006952; GO:0006954; GO:0019957; GO:0032642; GO:0038023; GO:0055037; GO:0070098,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Chemokine receptors
CHEMBL4523900,Probable G-protein coupled receptor 152,Q8TDT2,GO:0004930; GO:0005886; GO:0007186; GO:0042802,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523876,Probable G-protein coupled receptor 153,Q6NV75,GO:0004930; GO:0005886,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523894,G-protein coupled receptor 161,Q8N6U8,GO:0004930; GO:0005886; GO:0005929; GO:0007186; GO:0007189; GO:0030666; GO:0043005; GO:0055037; GO:0060170; GO:0097386; GO:1901621,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL4523886,P2Y purinoceptor 8,Q86VZ1,GO:0004930; GO:0005886; GO:0007200; GO:0035025; GO:0045028,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
CHEMBL3562165,Probable G-protein coupled receptor 34,Q9UPC5,GO:0004930; GO:0005886; GO:0007186; GO:0045028,SINGLE PROTEIN,Homo sapiens,A,Class A (Rhodopsin),Class A orphans
